time_stamp,pm2.5_atm
2023-08-21T01:50:00Z,104.768
2023-08-21T02:00:00Z,104.315
2023-08-21T02:10:00Z,103.102
2023-08-21T02:20:00Z,101.577
2023-08-21T02:30:00Z,98.106
2023-08-21T02:40:00Z,95.036
2023-08-21T02:50:00Z,88.744
2023-08-21T03:00:00Z,84.957
2023-08-21T03:10:00Z,97.97200000000001
2023-08-21T03:20:00Z,73.83
2023-08-21T03:30:00Z,67.191
2023-08-21T03:40:00Z,61.324
2023-08-21T03:50:00Z,54.788
2023-08-21T04:00:00Z,50.873999999999995
2023-08-21T04:10:00Z,50.534
2023-08-21T04:20:00Z,52.16
2023-08-21T04:30:00Z,53.047
2023-08-21T04:40:00Z,55.44
2023-08-21T04:50:00Z,57.001
2023-08-21T05:00:00Z,58.849000000000004
2023-08-21T05:10:00Z,61.293000000000006
2023-08-21T05:20:00Z,62.525
2023-08-21T05:30:00Z,63.94800000000001
2023-08-21T05:40:00Z,65.44999999999999
2023-08-21T05:50:00Z,67.013
2023-08-21T06:00:00Z,67.07499999999999
2023-08-21T06:10:00Z,67.438
2023-08-21T06:20:00Z,68.694
2023-08-21T06:30:00Z,69.366
2023-08-21T06:40:00Z,69.25
2023-08-21T06:50:00Z,69.925
2023-08-21T07:00:00Z,69.025
2023-08-21T07:10:00Z,68.931
2023-08-21T07:20:00Z,66.562
2023-08-21T07:30:00Z,65.006
2023-08-21T07:40:00Z,63.436
2023-08-21T07:50:00Z,60.725
2023-08-21T08:00:00Z,58.669
2023-08-21T08:10:00Z,56.196
2023-08-21T08:20:00Z,53.462
2023-08-21T08:30:00Z,52.717
2023-08-21T08:40:00Z,51.004
2023-08-21T08:50:00Z,49.899
2023-08-21T09:00:00Z,49.199
2023-08-21T09:10:00Z,47.218999999999994
2023-08-21T09:20:00Z,44.183
2023-08-21T09:30:00Z,43.241
2023-08-21T09:40:00Z,42.081
2023-08-21T09:50:00Z,41.315
2023-08-21T10:00:00Z,40.26
2023-08-21T10:10:00Z,37.18
2023-08-21T10:20:00Z,35.281
2023-08-21T10:30:00Z,33.668
2023-08-21T10:40:00Z,31.855
2023-08-21T10:50:00Z,30.22
2023-08-21T11:00:00Z,29.496000000000002
2023-08-21T11:10:00Z,28.317999999999998
2023-08-21T11:20:00Z,26.656
2023-08-21T11:30:00Z,26.839
2023-08-21T11:40:00Z,25.359
2023-08-21T11:50:00Z,24.425
2023-08-21T12:00:00Z,22.979
2023-08-21T12:10:00Z,21.401
2023-08-21T12:20:00Z,19.495
2023-08-21T12:30:00Z,19.108
2023-08-21T12:40:00Z,18.095
2023-08-21T12:50:00Z,16.132
2023-08-21T13:00:00Z,14.926
2023-08-21T13:10:00Z,15.274
2023-08-21T13:20:00Z,13.882
2023-08-21T13:30:00Z,12.541
2023-08-21T13:40:00Z,11.344999999999999
2023-08-21T13:50:00Z,10.408
2023-08-21T14:00:00Z,10.370999999999999
2023-08-21T14:10:00Z,9.154
2023-08-21T14:20:00Z,8.486
2023-08-21T14:30:00Z,7.574999999999999
2023-08-21T14:40:00Z,7.107
2023-08-21T14:50:00Z,7.057
2023-08-21T15:00:00Z,6.996
2023-08-21T15:10:00Z,6.638
2023-08-21T15:20:00Z,5.84
2023-08-21T15:30:00Z,5.583
2023-08-21T15:40:00Z,5.865
2023-08-21T15:50:00Z,5.713
2023-08-21T16:00:00Z,5.579000000000001
2023-08-21T16:10:00Z,5.156000000000001
2023-08-21T16:20:00Z,6.293
2023-08-21T16:30:00Z,5.4559999999999995
2023-08-21T16:40:00Z,5.486
2023-08-21T16:50:00Z,5.661
2023-08-21T17:00:00Z,5.968
2023-08-21T17:10:00Z,5.325
2023-08-21T17:20:00Z,4.884
2023-08-21T17:30:00Z,4.423
2023-08-21T17:40:00Z,3.995
2023-08-21T17:50:00Z,3.85
2023-08-21T18:00:00Z,4.551
2023-08-21T18:10:00Z,4.529999999999999
2023-08-21T18:20:00Z,4.9830000000000005
2023-08-21T18:30:00Z,4.973000000000001
2023-08-21T18:40:00Z,5.022
2023-08-21T18:50:00Z,4.898
2023-08-21T19:00:00Z,4.497
2023-08-21T19:10:00Z,4.189
2023-08-21T19:20:00Z,5.714
2023-08-21T19:30:00Z,5.707000000000001
2023-08-21T19:40:00Z,6.045999999999999
2023-08-21T19:50:00Z,6.0120000000000005
2023-08-21T20:00:00Z,6.91
2023-08-21T20:10:00Z,7.641
2023-08-21T20:20:00Z,8.888
2023-08-21T20:30:00Z,9.568999999999999
2023-08-21T20:40:00Z,10.413
2023-08-21T20:50:00Z,11.174
2023-08-21T21:00:00Z,11.522
2023-08-21T21:10:00Z,11.003
2023-08-21T21:20:00Z,11.428
2023-08-21T21:30:00Z,10.251000000000001
2023-08-21T21:40:00Z,10.396
2023-08-21T21:50:00Z,10.495999999999999
2023-08-21T22:00:00Z,10.089
2023-08-21T22:10:00Z,9.543
2023-08-21T22:20:00Z,9.131
2023-08-21T22:30:00Z,8.305
2023-08-21T22:40:00Z,8.588999999999999
2023-08-21T22:50:00Z,8.46
2023-08-21T23:00:00Z,8.366999999999999
2023-08-21T23:10:00Z,7.42
2023-08-21T23:20:00Z,7.291
2023-08-21T23:30:00Z,6.9030000000000005
2023-08-21T23:40:00Z,6.665
2023-08-21T23:50:00Z,6.32
